views,likes,dislikes,comment,category,adview
74890,43,7,0,D,7
1013401,5039,325,2966,D,13
235,1,0,0,D,1
21511,120,2,2,D,1
1285080,32437,247,1303,B,206
16013,41,1,3,D,1
134414,106,33,26,D,3
129638,625,26,30,D,3
53584,71,17,18,D,1
343106,274,103,48,D,4
132432,155,29,10,D,1
108173,57,22,,D,1
198587,709,136,762,B,1
23181,460,16,277,D,1
358806,2723,113,254,D,1
58590,158,9,11,A,1
984252,1528,3152,1603,G,1
1088110,717,433,182,H,4
40814,80,4,31,G,1
359042,3260,51,417,B,2
264315,221,71,18,D,11
3169579,6670,930,897,G,16
883275,2016,216,224,D,47
6893,36,10,31,D,1
179656,108,48,46,D,4
12471,151,12,32,D,1
10912161,25471,2411,3433,D,20
85027,243,10,33,G,1
61132,131,44,21,D,1
3295972,48953,536,3914,G,2
943994,7715,133,776,B,1
66161,88,19,10,A,2
1466959,1472,562,210,D,4
2402,5,0,0,D,2
1124395,5770,68,72,E,2
306536,1310,229,335,D,2
1070023,2077,278,131,G,1
506620,373,155,26,D,1
1100646,1399,226,742,E,5
554480,2176,1483,110,B,1
177393,128,41,19,D,3
121840,246,58,18,G,1
21085,223,7,6,B,1
730457,6484,563,548,F,1
389557,11322,220,3016,D,2
87313,440,143,76,C,1
16457,49,1,0,G,1
1147,44,1,4,G,1
1613,8,0,0,C,2
413458,1257,52,112,G,1
174439,230,44,16,D,7
3021,35,4,18,G,2
5865,38,3,8,D,1
3738,27,4,2,E,32
7382,120,1,24,F,2
56937,65,18,11,A,3
1064196,4104,1313,2177,D,2
42195,98,4,11,D,1
64694,173,2,80,D,1
26561,42,1,5,D,1
203562,212,16,7,D,10
51966,72,9,1,D,1
109014,102,12,41,D,3
45578,25,6,3,G,3
30918,60,7,13,E,3
7091,6,1,0,D,3
54789,536,6,79,B,1
1924,16,4,1,D,1
4167,73,1,59,D,1
1702705,1276,476,106,D,6
1106730,9744,177,732,F,14
246236,9716,78,677,E,1
130038,620,39,73,D,1
516395,703,184,196,D,5
23345,18,4,0,D,3
4994,4,0,0,D,3
51166,777,11,238,E,1
221211,6276,82,907,D,1
507,0,0,0,D,3
29163,102,1,11,G,1
124794,465,21,115,B,1
95972,440,12,51,D,2
173221,265,39,9,D,41
44185,72,12,5,E,1
27886,132,77,240,D,1
1582678,1875,280,85,G,2
763835,4358,93,333,F,5
233,0,0,0,D,1
31902,89,20,8,D,1
1587272,14046,588,2707,F,19
3440536,2000,1024,91,D,9
277709,222,55,36,D,6
1418,3,3,0,D,2
2061534,18816,1219,958,B,2
705518,5932,603,1925,D,1
1247454,7975,1259,423,F,1
282776,3668,246,178,D,1
11494,8,8,0,D,1
1147362,7208,290,250,H,9
23647,166,19,6,B,3446
617,1,1,0,D,88
152357,215,73,19,D,2
4431,50,1,5,D,3
897114,4834,473,689,C,1
253466,1336,29,57,D,646
228580,380,33,29,D,50
4256429,16384,2055,3851,D,7
5036458,28604,1665,1428,D,1
14044,237,6,33,D,1
16287,34,12,2,B,2
64288,851,24,153,F,3
283557,1087,63,197,G,1
91437,144,17,16,D,1
114730,467,21,53,G,3
1610,7,1,5,D,439
164,2,0,0,D,1
43134,22,9,3,D,5
3531,7,3,0,E,1
5969,3,1,0,G,1
2000697,914,315,46,D,4
1595843,5262,140,311,G,4
13277,16,3,0,C,1
3667939,4700,1026,336,D,10
1588662,7809,140,1757,E,145
1980,6,2,0,E,78
4477564,23147,1574,3162,D,4
46511,649,15,106,D,48
70332,1065,11,57,G,1
2531835,1324,521,32,D,123
37035,330,1,23,D,2
577249,993,108,38,D,17
510661,1314,86,163,D,4
26789,78,12,70,F,2
510876,173,104,8,D,1
199122,150,73,141,D,5
292388,227,50,10,D,2
321250,301,103,110,D,8
1459350,15672,817,1650,B,2
909,8,1,1,D,9
77054,71,36,18,C,67540
209978,338,109,12,D,5
141949,1128,19,31,G,1
217129,781,37,45,D,2
2609671,5239,315,596,H,2
1105772,3627,157,353,G,1
339388,1047,60,211,A,2
443956,329,133,2,D,2
562812,228,98,29,E,1
237042,5621,404,2236,D,7
2025407,10020,184,570,G,1
505112,2083,34,309,G,2
660,10,1,0,F,1
511529,1148,72,80,D,27
26930,53,6,5,E,1
509694,6362,258,438,B,6
1267583,2245,324,142,D,1
1390342,22446,363,3413,B,5
342300,1457,681,344,H,6
4882569,8539,1063,1549,G,415
5450399,12936,2514,871,G,379
867411,504,323,,D,6
1938390,4640,1147,917,C,21
11220,108,3,18,D,1
230,2,0,0,D,4
22923,305,0,29,G,2
918252,7843,476,1063,B,1
147,1,0,0,D,1
375660,551,151,43,D,3
389641,188,65,17,D,1
438854,1676,78,144,D,1
4340856,17898,330,542,D,2
83405,,,,D,3
993142,1285,348,70,D,1
31398,106,17,196,E,9
1360386,3874,801,2393,F,3
9070,25,0,2,G,1
765,0,2,0,D,3
80637,107,11,5,H,2
16544,25,1,5,A,24
98044,649,14,22,G,1
567444,600,175,129,D,5
119508,198,28,200,E,127
1953249,1666,422,101,D,102
4738,14,0,0,D,3507
252845,2630,48,237,E,2
3599,3,0,0,A,1
14160,166,15,23,E,4
12306,36,16,3,G,12153
36339,244,2,5,G,1
276613,462,20,49,G,1
19132,,,,G,2
15064,4,2,0,E,1
564970,2462,68,202,B,2
319721,298,112,55,D,4
37585,117,12,14,G,2
1778696,20618,667,2002,B,9
799024,5263,190,585,D,3
6501,124,16,50,D,1
2822,10,0,1,G,1
139468,471,27,25,D,2
299733,684,102,277,A,4
189297,320,28,11,D,1
115913,257,18,8,D,3
39314,63,5,0,D,2
966734,4713,389,498,B,21
3897030,32552,5033,2816,D,10
113420,280,9,4,D,1
15847,45,0,1,G,1
871874,4552,197,566,G,42
481796,3247,183,2691,F,2
395509,396,53,5,C,2
78655,199,38,43,H,1
229181,288,118,92,D,1
271144,613,46,38,D,7
4972266,2872,1822,197,E,13
4578667,1655,751,82,D,187
276413,2240,78,161,E,5
1097528,3211,186,784,G,2
525539,1210,139,93,D,4
38414,207,27,115,E,1
1912367,674,369,17,D,130
4345,213,2,60,F,132
2130839,1833,1365,250,E,1
11161,20,1,0,D,7434
160229,1018,26,18,D,1
1187377,7288,767,366,F,13
7553,16,2,1,D,2
178981,1903,229,1168,B,6
810460,709,103,31,G,24
291308,1501,393,145,F,1
220094,283,20,21,D,7
919924,1338,43,91,G,1
3017598,7560,850,1023,D,6
1946950,,,,D,5
630149,944,99,50,D,14
214245,620,63,97,E,1
58418,246,17,9,F,2
907931,297,135,13,D,18
5762,252,8,31,G,2
1006641,2885,214,381,D,1
3087,20,0,1,G,2039
213956,117,25,12,D,29
75964,260,51,60,D,1
85830,199,17,8,B,6
1146,0,0,0,D,4
1257,12,1,0,G,832
375,0,0,0,D,1
1321399,24147,508,2377,B,6
107412,910,37,22,D,1
7157,16,3,0,D,1
332411,312,21,14,D,138
334337,333,71,191,D,1
60470,631,31,29,D,1
134884,677,48,529,D,4
1657970,2905,122,98,E,1
11556,57,9,4,E,1
374629,1129,43,95,D,1
120798,1281,29,117,G,5
6231526,28392,1609,526,D,26
175843,232,31,53,G,1
13568,3,1,0,D,1
1667038,6499,1784,655,G,3
160865,125,50,42,G,1
45994,106,6,6,D,3
1588202,6503,325,411,G,7
395091,6705,240,1523,D,2
462997,2480,285,978,B,7
377792,1341,87,223,D,5
24549,244,6,107,D,2
445799,518,174,52,E,1
112685,590,25,24,G,1
36693,527,34,161,D,1
2591,6,0,0,G,8
99426,271,16,17,G,3
306208,1032,62,24,D,8
188409,226,120,29,D,5
20702,55,4,8,D,1
137988,372,10,3,D,1
620720,2247,107,572,D,1
64178,148,17,8,D,40
33924,68,7,9,G,1
172440,827,46,100,G,1
3623,1,0,0,D,1
1356650,5916,2693,2757,D,12
295214,437,44,47,D,1
1058236,351,138,19,D,10
270335,5301,100,5825,D,2
4686,23,1,2,D,1
46145,152,8,18,E,1
1885,2,0,0,E,1
163435,6380,59,523,F,1
325493,521,122,38,D,2
199224,196,63,48,D,1
501438,286,106,12,G,3
335479,479,31,23,D,6
62254,350,15,19,C,1
547178,895,253,1130,D,5
501023,15269,253,476,B,1
125416,542,16,58,G,4
26787,181,4,155,D,1
54488,386,24,31,G,3
203231,155,24,4,D,1
188257,409,49,14,F,2
997397,10213,313,4290,D,6
136393,239,35,65,D,58
1032,16,2,3,F,1
37915,34,9,3,E,2
540112,1646,240,182,G,14
3082,73,2,16,G,1
46057,20,1,3,D,5
151223,358,41,45,D,2
536913,2882,118,1211,G,1
832361,1108,182,50,D,3
18895,19,4,1,E,1
1924388,11850,1020,1534,H,7
1217321,2773,390,257,G,132
9331,7,2,0,E,1
2374711,1919,1103,114,D,5
33453,40,4,0,E,1
1739955,16927,1201,1552,G,1
130283,441,38,90,D,7
387808,1512,74,51,G,2
3111436,10041,2658,,D,1
6424,12,4,1,D,1
134810,1690,683,119,C,55663
30918785,57266,15235,1659,C,34
118,5,0,1,D,2
2424091,3554,636,306,D,2
401560,4567,113,1996,D,1
197469,376,104,50,G,1
7286,99,8,27,D,1
193944,514,33,87,D,1
178907,120,22,10,D,6
623085,435,128,15,D,5
86629,127,18,150,D,1
552328,7613,156,1009,D,5
89743,13,1,1,E,1
988,4,0,2,D,1
166450,6457,273,1912,G,1
303132,1120,68,46,G,2
548045,2449,2096,1141,B,1
580402,13430,87,875,C,1
20190,17,2,2,E,1
3885,12,4,3,E,3
6245,72,2,10,D,742
390060,832,52,48,D,1
4639220,11572,2593,541,D,3
1708432,7556,1330,3426,B,9
15072,60,1,2,G,11506
333386,489,136,97,D,3
1182,3,2,0,D,1
771582,1991,85,138,B,1
16707,31,2,0,D,1
301185,264,59,19,D,11
8329032,7808,1813,329,D,21
73848,298,43,31,G,2
1351006,2457,730,101,D,100
41183,39,6,11,D,1
1542644,409,326,36,D,2
127124,1104,52,1050,D,8
163450,1073,13,170,B,1
94855,3716,38,440,F,1
151781,882,16,126,D,1
146501,365,44,35,D,10
49791,278,14,12,D,3
484568,1258,87,81,D,4
1446917,15960,580,554,D,1
143246,158,37,22,D,3
70,0,0,0,D,1
439685,291,72,95,E,2
9270,,,0,H,1
646174,2323,107,94,D,10
29759,28,0,5,D,2
284317,695,54,181,D,4
118870,71,21,2,D,74
271031,240,64,6,D,80
83650,214,4,69,G,5
189162,900,78,87,D,1
259619,3091,114,534,B,21
520712,1212,58,70,G,9
788964,1353,143,13,D,3
5444,31,7,8,G,1
16567,15,4,6,D,1
810171,839,138,65,D,2
347832,466,115,61,D,4
41379,58,15,18,D,2
1125,17,0,2,G,731
788270,3319,392,109,F,2
834868,,,29,H,2
209381,437,24,9,D,1
2210877,3384,552,475,D,2
23730,559,16,57,E,3
1373576,5078,639,242,D,3
36766,3,0,0,D,35525
1071888,6460,313,918,B,3
8290,8,5,9,G,1
407008,2954,142,402,B,2
132007,976,74,102,B,1
185713,100,31,19,G,1
520333,2873,272,1475,D,2
2908569,5405,3446,211,G,14350
1778,,,1,D,2
3385,2,1,0,D,1
173928,460,28,32,D,2
381780,1823,263,932,B,2
25028,1092,5,232,C,1
370626,278,114,52,D,7
230863,504,38,43,D,5499
152445,5824,92,472,A,1
352471,3160,120,334,G,1
1817,6,2,0,D,4
262178,2640,85,138,D,36
120957,381,11,28,D,48
1255,8,4,1,B,561
93361,531,18,30,G,1
21604,13,0,17,D,1
35706,39,7,14,G,1
890201,403,117,14,D,6
138482,795,47,43,B,5
124850,80,27,18,D,1
1356574,1376,92,217,G,5
10666,9,3,1,A,1
2945492,26759,704,2007,D,2766
440,0,1,0,D,2
2034,9,0,0,D,1
580,4,0,2,D,1
1742410,5842,757,302,D,9
32373,51,4,6,D,1
8184705,10015,2707,979,E,3
314120,565,74,144,B,2
5487481,33291,8514,18499,D,8
47538,773,13,77,C,1
27472475,140661,49449,28877,G,30
99679,67,24,18,D,1
890128,1673,175,223,D,4
2612159,11770,952,1572,D,1
24319,186,9,169,D,1
12523,32,3,2,G,3
46198,82,17,12,D,1
2713927,20943,438,1064,D,1
811034,1279,198,382,E,1
466841,1327,207,138,G,5
43373,67,2,16,E,2
530455,729,75,23,D,25
840911,6669,190,463,G,1
323,1,0,0,D,1
17947,18,8,1,B,13
8361768,13346,2804,681,D,26
406997,829,425,33,G,2
13104,39,4,2,D,55
173439,313,23,38,C,2
272343,1004,113,1232,D,1
711783,4886,675,378,D,3
205899,313,87,21,F,2
88137,300,26,31,D,1
92357,424,34,23,C,3
118710,180,23,33,D,1
104,0,0,0,D,3
18875,635,16,75,D,3
55219,115,3,16,G,1
1185819,1617,224,907,D,10
11603,173,5,52,H,1
168556,1143,37,441,G,1
269688,813,83,135,G,6
172152,571,45,17,F,50
397245,240,117,29,D,7
148561,4436,24,386,C,1
100749,395,13,21,D,1
3165,43,0,32,D,1
16844,1282,22,117,A,1
3348,387,9,29,B,1
276753,1061,73,94,D,1
5176,41,7,4,D,4
153413,314,40,17,D,3
490045,334,31,151,G,46
86564,96,19,2,D,2
197065,86,57,14,E,5
508064,239,120,19,H,1
8439311,26290,1740,866,G,9
54567,92,12,11,D,1
79545,462,22,26,G,5
1285198,966,420,139,D,12
375564,1030,78,29,G,3
180991,2069,59,178,G,9157
5892,16,3,0,D,1
2522265,2478,975,215,H,10
1087911,2008,231,126,D,12
3622899,,,304,G,6
2554,9,0,1,H,2161
9030,7,8,0,D,1
4706,59,0,5,D,6
3098494,1050,731,91,D,15
270994,287,42,23,D,1
250630,1439,39,78,G,1
110964,160,24,14,D,1
33722,22,8,,C,1
5089457,20375,1219,1237,D,48
80968,65,30,3,D,1
709511,9690,312,7385,D,6
453586,2140,95,201,D,57
2945513,10683,890,345,D,6
1196329,9716,871,1219,D,8
131931,59,56,37,D,2
764019,4689,229,942,D,2
9651,12,1,0,B,1
658576,2281,63,67,G,3
1168338,11243,352,1057,B,15
292971,1557,82,391,G,1
27092,382,5,28,D,5881
76046,635,239,588,D,1
3499895,17154,1432,1706,D,9
626203,1482,95,128,E,5
153372,436,34,45,G,1
1987036,957,379,143,E,1
1430,40,3,3,B,58
321968,302,238,104,H,10
223667,3279,112,694,D,1
21602,98,2,1,C,1
216452,434,18,160,G,2
2774,8,0,1,D,1
23871,324,7,49,G,2
700822,1082,278,53,D,2
28443,499,61,138,F,1
2037749,5154,539,430,D,6
13826,244,0,47,G,1
523017,7053,170,776,F,3
407285,947,92,92,D,3
182732,1997,28,71,G,4
447882,17368,513,1090,A,1
201598,734,35,130,A,1095
51737,482,12,21,D,1
1001085,1016,210,29,D,23
193936,355,91,45,D,2
498271,1190,82,158,F,12
22878,196,26,72,D,2
71769,951,14,172,E,2
232437,1775,83,538,G,2
29386,94,6,9,B,1
457020,948,160,68,D,25
17029,103,0,1,D,1
372707,569,21,51,D,4
275243,6341,2429,2942,D,2
72798,86,26,7,E,2
2833,33,6,3,G,2
4812,23,4,0,D,2
82083,362,19,52,E,4
1628484,10116,989,2977,D,3
399147,11590,488,1915,D,5
59236,449,18,32,D,2
172507,413,80,96,D,2
2947869,1701,866,,C,10
26409622,,,2723,D,47
354990,839,33,70,G,1
25472,144,5,9,G,1
3357,5,1,0,D,2
984832,281,232,5,D,4
944956,29002,194,577,B,125
30841,46,6,13,D,1
46902,106,6,144,D,1
32378,24,0,1,D,1
203799,845,40,131,D,19
185623,291,30,4,D,22
27714,42,5,2,D,1
639502,1287,109,56,D,1
43114,191,16,18,D,1
1202,20,2,2,G,726
36951,372,26,166,D,1
676481,4030,421,969,G,1
40862,194,27,6,F,1
418337,426,95,27,D,6
53415,124,9,13,D,2
530140,1155,140,1308,D,1
176717,1698,32,121,F,1
7378,3,3,,D,1
186098,1435,28,60,E,2
328990,721,94,159,D,2
9241,47,7,51,E,4651
958123,3175,634,1187,D,1
82225,360,8,38,F,1
659645,464,202,38,D,2
3028,1,0,0,D,1
1372239,1643,421,108,D,2
74556,282,24,23,F,2
5023,126,3,10,G,12
519759,774,306,178,H,1
135944,159,24,17,D,2
2533445,35866,3474,4893,F,2
161027,1260,607,453,G,1
2699624,6449,380,553,E,1
815008,1962,75,115,G,7
27822,136,12,43,C,1
106671,966,38,292,A,4
224190,241,56,8,E,4
5315,53,1,4,G,1
125521,212,8,24,D,3
111667,159,24,17,G,1
712822,8818,314,1819,D,7
8776,116,8,8,F,19
1446,4,0,5,D,429
356995,47,57,6,D,1
630898,1625,117,80,D,5
10388,432,2,77,E,1
2017966,470,359,19,D,1
326534,573,125,87,D,1
6645718,61218,4332,3232,D,109
967479,5028,115,266,G,1
335303,3177,110,612,G,1
6119,114,7,50,G,2
128208,489,164,72,D,3
384,2,0,0,E,2
2021,3,2,0,E,1
262925,237,125,81,D,10
4911545,60188,4450,3298,D,5
5156,84,22,11,B,526
108362,225,8,9,G,31358
29566,16,8,0,C,1
46752,81,4,1,D,1
265630,120,53,37,D,1
150252,67,29,4,D,1
240931,179,43,17,D,1
449255,2177,173,128,E,4
294272,6114,48,1021,D,1
5303,15,3,0,E,45
40034,392,25,90,D,4
739329,10840,1320,2384,D,20
62763,97,20,4,G,1
137818,558,31,358,E,26
135,0,0,0,D,1
10923,14,3,1,D,2
46485,348,5,12,D,1
3288226,8666,639,801,D,15
249738,98,20,10,D,1
843981,5888,2001,4269,D,3
125293,173,25,1,G,1
735,3,1,0,D,1
163857,118,26,4,D,24
498963,2176,81,627,E,10
17390,17,5,0,E,1
20316,17,3,0,D,1
126385,139,11,5,D,28
165514,1260,38,34,E,1
130594,313,10,21,G,1
217246,4666,67,1649,E,1
352185,2403,96,650,G,1
5068666,25259,1342,710,D,2
2945783,10425,707,845,G,2
389751,643,110,41,D,1
29671,81,4,6,D,1
19040,123,3,19,B,1
627830,1474,123,156,D,3
193978,503,341,11,E,1
45915,88,13,16,A,1
888488,4335,485,3687,D,3
30406,325,13,20,G,1
59092,242,9,2,C,2
454555,2325,73,89,E,6
68959,461,24,54,F,10
796460,5292,91,452,G,1
87010,183,27,0,D,2
851053,8883,671,3678,D,2
454443,293,181,137,D,8
311,1,0,0,C,1
198292,140,33,36,E,1
2902396,1023,857,90,D,19
67246,333,14,17,D,1
17523,33,11,1,E,1
7170,151,0,8,G,3
397903,2106,227,2296,D,2
174287,862,33,49,D,1
9046,20,4,0,G,1
46274,53,21,4,E,1
52604,75,20,13,E,2
330114,1010,87,264,D,1
10094,120,15,37,E,1
53885,140,32,18,A,1
1290577,3843,432,2807,F,5
1479203,21166,848,2901,G,1
64177,63,12,1,D,1
34776,211,16,11,G,11
1488792,1778,379,167,D,11
28378,21,9,5,D,3
127443,61,10,0,D,9
702756,1547,85,217,D,3
379606,1212,40,103,D,1
37087,33,4,3,D,1
56821,395,33,105,B,1907
247905,1024,43,40,D,8
1818,24,0,0,D,3
614116,883,101,67,D,1
197,1,1,0,D,1
604893,166,121,2,D,1
1352801,4586,143,201,E,5
4447,4,2,0,D,1
1071923,2262,287,588,D,6
736428,2231,95,247,D,1
2777,14,0,1,G,1681
7957,19,3,0,A,6030
79227,378,14,6,D,19171
35316,129,9,5,G,6
2741483,6539,902,505,D,7
980600,1533,446,191,D,2
517921,1234,179,106,D,3
133556,128,2,19,D,1
365252,6185,75,130,G,3
782344,754,93,21,D,1
328020,225,23,25,D,1
127439,475,22,69,C,17
160636,2275,133,164,D,1
178445,222,96,54,D,1
6036,24,0,4,G,2
719512,1076,109,61,D,8
894050,800,177,110,D,11
112933,314,39,39,G,3
706365,12362,325,11392,E,2
402615,612,104,88,G,1
481788,6249,313,518,B,2
790,22,4,25,F,150
315141,2273,44,124,D,2
281,0,0,2,D,1
108633,427,68,16,F,4
60588,59,11,5,D,2
7043,53,50,2,G,262
1036321,3985,317,711,D,1
594563,3130,148,414,B,2
52427,106,19,2,G,1
559854,1963,279,218,D,2
2211627,2759,672,783,D,5
415046,447,108,46,G,15
264676,708,59,50,D,1
1083825,4516,252,338,H,14
2302526,16202,568,570,E,2
46746,127,13,26,C,1
745030,5702,463,398,F,8
151887,522,65,447,D,2
738,20,1,2,G,1
10958,49,118,23,G,3
81900,517,48,95,F,5
554075,11445,940,1681,E,4
371153,267,108,51,D,3
39488,106,6,45,D,1
121409,397,33,294,C,1
8714,21,3,2,C,1
380435,5243,529,3768,H,1
64224,1857,60,202,D,1
51146,536,49,36,F,2
276379,699,55,158,E,2
4714,39,1,7,G,1
2013,53,0,24,D,1
665458,650,151,32,D,8
3795499,5295,1103,430,G,6
11739,39,2,0,D,1
3271,12,0,0,D,1
250728,405,28,15,G,4
45694,376,10,17,D,1
22661,264,10,66,E,1
10547,86,4,6,D,2
152433,383,14,19,G,1
1554859,15598,422,2086,B,439065
16206,133,8,120,D,1
1170400,19369,210,2174,B,1
80193,498,19,67,D,6
23474,65,15,9,D,1
4074,20,5,0,G,1
1240115,15296,745,4247,B,11
638,9,0,2,G,1
477571,4104,370,544,B,21
328908,1505,208,531,F,4
58250,165,8,5,D,13
10263984,48017,3013,3232,D,14
36806,7,9,0,D,1
3421626,7830,1851,681,G,68
7065,6,2,0,C,6
359726,260,132,72,D,3
12284,3,3,0,D,1
462135,6372,166,3434,D,4
18605,113,12,18,E,1
261673,72,67,16,D,2
38375,43,5,2,E,13
204964,763,11,126,G,16
29058,38,7,5,D,1
351756,487,59,56,D,18
12330,37,30,8,F,249
210443,122,38,33,D,3
145330,292,22,76,E,9
138421,106,39,10,D,69
187596,217,47,20,D,5
406046,2389,150,2591,D,4
55459,88,34,7,G,1
2488,3,0,0,E,1998
703719,3126,55,291,G,2
44714,464,36,98,D,5
99078,81,10,3,D,1
171847,719,88,54,D,5
24815,222,3,29,C,1
94192,235,8,22,D,1
10646,37,9,4,D,1
1761,44,0,7,D,2
169074,1433,87,226,D,2
169682,857,92,108,E,1
115414,221,28,29,D,1
74600,55,26,10,E,3
105545,175,5,83,D,2
924665,2010,184,86,D,6
1684,10,3,5,D,442
465145,1110,54,209,A,2
510649,1035,145,49,E,2
117049,276,14,10,G,6
42974,56,10,0,E,9
29186,110,1,8,D,65
11473,141,5,78,D,2
1225036,7368,523,385,F,8
88508,115,14,6,G,1
11648,68,21,47,F,2
71942,274,29,16,D,2
1027371,1228,86,95,D,1
459570,8936,181,1108,E,4700
174144,3640,108,760,D,1
198111,230,34,15,H,1
27455,66,6,7,H,3
1028,50,1,9,D,1
473528,1135,253,109,D,2
119,1,0,0,D,2
358022,2435,113,3203,E,3
8520686,11160,6035,,C,1
244316,1788,41,409,G,1
44553,43,13,3,E,3
40832,63,3,2,B,7
37227,490,14,29,G,5
186953,217,51,22,D,1
52880,320,15,12,C,1
99312,67,29,137,D,5
1304254,2399,346,158,E,19
325215,1443,43,114,G,2
181048,127,26,5,D,4
578583,514,141,50,D,1
131965,788,35,34,D,8
38868,135,3,0,D,1
92387,341,15,63,D,1
349450,509,106,55,D,2
560,5,0,0,D,2
60974,354,8,4,D,14921
816551,14613,364,1649,F,18
5269472,36741,560,3491,B,3
15626,99,11,15,D,2
322435,723,262,35,H,2
52019,288,23,117,C,1
1561375,2271,627,184,D,46
1295121,1756,1245,93,E,24
867239,13465,2106,2629,E,1
23066,47,8,5,A,1
164938,126,33,29,D,3
23425,210,56,13,F,1
161644,189,106,62,D,2
115616,37,13,3,D,11
228998,348,73,34,D,2
238,8,1,0,D,1
226746,644,26,1,D,7
155182,972,93,98,E,24
465364,827,129,177,H,1
103596,967,53,1062,E,1
127536,238,26,51,D,3
127534,83,31,21,D,3
1587579,11831,382,1769,B,9
487423,462,56,26,D,23
4483,23,0,2,G,2154
385894,1737,79,232,D,20
1965,,,1,E,6
36171,1102,3,11,D,24090
3909,80,4,21,D,5
3575718,15847,557,718,G,9
24122,56,4,15,D,1
331051,255,97,46,D,3
1578826,16113,839,3206,D,8
2612,10,0,9,F,1734
634890,2752,329,1275,F,1
613548,438,72,34,D,52
639054,642,101,198,G,1
57382,278,14,12,A,5548
128451,305,1,9,G,2
21064,112,5,9,B,1
78901,293,20,98,D,2
1920871,2798,212,207,D,5
916109,1605,171,72,D,36
95254,122,18,12,E,1
2669,7,0,1,D,10
4304,9,0,2,G,3420
664721,7265,334,1230,D,2
198437,1703,170,295,B,2
322864,2136,74,151,D,6
735784,2211,265,2332,F,1
788662,1477,119,28,D,1
31652,45,4,4,E,1
73732,118,10,7,B,14
1340810,1494,242,49,D,68
1117,20,0,3,G,493
2765878,5906,459,335,D,145
269781,794,37,37,D,1
1630,17,3,9,D,1
253128,1376,252,1563,B,1
885,5,0,5,C,1
1229189,2574,501,185,G,111
1718,21,0,2,G,711
8511,53,3,10,C,1
824372,307,264,13,D,1
76182,143,8,12,D,1
874606,1661,205,224,D,1
3167965,5027,1070,338,E,32
1225133,7786,119,825,D,11
1924135,4926,1228,3857,F,6
307816,685,40,41,D,2
746931,998,200,44,D,11
205064,280,24,13,D,1
21322,25,3,1,D,1
14674,195,38,44,D,1
40285,109,3,12,D,2
1551208,2010,868,470,H,10
1037058,1447,437,867,A,5
1194262,10023,405,4084,B,1
198741,624,56,,H,1
63724,156,20,6,D,1
78167,64,12,4,D,14
129742,118,23,12,D,4
1023441,7680,1060,3165,F,4
490657,758,155,138,G,3
439740,1227,178,1967,D,1
165991,1270,60,65,F,1
31653,197,9,3,D,4
357665,2817,93,1191,D,1
100465,282,9,39,E,1
3521,4,0,0,E,1
24437,25,0,0,D,3
3764,13,6,0,D,1
465008,562,84,3,D,3
419630,356,116,38,H,3
616608,1615,263,656,D,120
1073131,632,138,81,E,3
302,0,0,0,D,1
466601,509,139,67,E,2
277898,542,218,112,H,8
2003,3,0,0,D,2
1314898,1954,852,121,D,6
617394,887,311,93,H,1
20990,131,14,35,B,650
187616,77,18,3,D,1
295874,2791,171,732,B,2
646148,7256,180,1218,D,1
14135,65,5,9,D,1
861933,3294,1078,4316,B,4
1104171,6577,600,5610,D,6
113732,1188,75,511,D,1
283123,769,52,40,B,2
1958,0,3,0,E,1
24661,904,17,68,D,1
1659435,3957,154,299,G,10
2304078,4220,1075,125,F,12
5853988,31284,1482,5335,G,1364
21709,37,120,25,F,429
620,3,0,0,D,1
218790,323,36,13,D,1
14570,8,0,1,E,3
10289,48,5,4,E,5631
26716,101,2,6,G,2
288140,2318,72,859,D,1
77716,626,16,17,G,1
547916,658,118,33,D,4
1499125,4221,1155,414,D,8
785514,1545,67,167,G,1
120739,766,16,227,G,1
40413,494,14,75,D,2
10389,31,2,0,G,2
221478,4171,53,215,C,1
718,8,1,0,D,2
248,1,1,0,D,1
221051,224,38,107,E,5
350169,988,43,26,D,176
27293,74,1,4,B,3
254451,519,65,445,E,1
14086,269,15,55,F,4690
336619,10003,400,2074,D,2
1124146,2077,180,41,D,2
382333,3174,247,154,E,2
908184,4990,87,528,D,1
146556,735,16,27,E,2
570902,1174,127,87,D,1
658651,,,5,G,1
3913640,619,2456,171,D,3
6521,15,1,3,G,1
300527,3041,95,370,D,2
504986,2254,101,770,D,1
3261,18,2,13,D,1
64853,278,69,178,F,2
482250,2865,727,730,F,1
799124,13305,727,5175,B,2
176310,748,55,85,H,2
4654,15,4,1,D,1
30871,138,14,5,B,3
12663,20,4,4,G,2
558094,959,201,107,D,7
4074,2,2,1,H,2
14167,115,4,14,G,1
45608,50,7,2,D,1
56556,210,17,121,D,1
887401,1438,574,163,D,1
178783,3,1,0,D,176421
31648,140,24,14,G,21127
183265,398,28,32,D,1
191,3,0,0,C,2
8988471,55055,1565,1311,D,1707
306924,1022,28,45,B,16
159743,449,60,9,F,4
114112,403,12,4,C,1
566354,650,294,31,G,2
6052,4,0,1,G,5584
78890,28,7,0,D,1
32256,38,22,12,C,1
44152,145,17,18,G,1
1788387,2233,382,110,D,51
90974,76,19,3,D,1
1583,73,1,54,D,1
269869,1293,28,64,D,1
938690,7175,517,556,G,1
88294,160,10,5,D,1
17307,53,6,20,G,1
385372,1153,13,86,G,1
2440245,6245,1144,432,G,4
